ID;Bezeichnung (DE);Kommentar (DE);;
165HL;LAVA (HL);HL;;
204HL;UMBRA (HL);HL;;
270HL;STONE (HL);HL;;
430HL;BLACK (HL);HL;;
602HL;SANDY BEACH (HL);HL;;
613HL;RAL (HL);HL;;
615HL;NCS (HL);HL;;
616HL;SIKKENS (HL);HL;;
617HL;FERROW & BALL (HL);HL;;
618HL;PANTONE (HL);HL;;
751HL;WHITE (HL);HL;;
752HL;BLOSSOM WHITE (HL);HL;;
781HL;KASHMIR (HL);HL;;
815HL;GRIGIO (HL);HL;;
843HL;MIDNIGHT BLUE (HL);HL;;
844HL;MOSS (HL);HL;;
845HL;DEEP BLUE (HL);HL;;
851HL;DAYLIGHT GREY (HL);HL;;
871HL;VERDE (HL);HL;;
131KQ;BLACK METAL (KQ);KQ;;
175KQ;BRONZE METAL (KQ);KQ;;
178KQ;BROWN STEEL (KQ);KQ;;
201KQ;BLACK STEEL (KQ);KQ;;
244KQ;TEXTURED CARBON STONE (KQ);KQ;;
245KQ;TEXTURED GREY STONE (KQ);KQ;;
246KQ;ITALIAN WALNUT (KQ);KQ;;
886KQ;SANDY STONE (KQ);KQ;;
113LX;TERRA GREY (LX);LX;;
114LX;TUNDRA (LX);LX;;
145LX;SNOW (LX);LX;;
165LX;LAVA (LX);LX;;
204LX;UMBRA (LX);LX;;
232LX;VELVET GREEN (LX);LX;;
270LX;STONE (LX);LX;;
430LX;BLACK (LX);LX;;
602LX;SANDY BEACH (LX);LX;;
613LX;RAL (LX);LX;;
615LX;NCS (LX);LX;;
616LX;SIKKENS (LX);LX;;
617LX;FERROW & BALL (LX);LX;;
618LX;PANTONE (LX);LX;;
730LX;CARBON (LX);LX;;
751LX;WHITE (LX);LX;;
752LX;BLOSSOM WHITE (LX);LX;;
781LX;KASHMIR (LX);LX;;
815LX;GRIGIO (LX);LX;;
843LX;MIDNIGHT BLUE (LX);LX;;
844LX;MOSS (LX);LX;;
845LX;DEEP BLUE (LX);LX;;
851LX;DAYLIGHT GREY (LX);LX;;
871LX;VERDE (LX);LX;;
875LX;CLAY DARK (LX);LX;;
878LX;JUST GREY (LX);LX;;
879LX;BEACH GREY (LX);LX;;
113MA;TERRA GREY (MA);MA;;
114MA;TUNDRA (MA);MA;;
145MA;SNOW (MA);MA;;
220MA;DARK GREY STEEL (MA);MA;;
232MA;VELVET GREEN (MA);MA;;
430MA;BLACK (MA);MA;;
602MA;SANDY BEACH (MA);MA;;
730MA;CARBON (MA);MA;;
751MA;WHITE (MA);MA;;
752MA;BLOSSOM WHITE (MA);MA;;
781MA;KASHMIR (MA);MA;;
843MA;MIDNIGHT BLUE (MA);MA;;
879MA;BEACH GREY (MA);MA;;
266ME;COPPER (ME);ME;;
267ME;BRASS (ME);ME;;
268ME;INOX (ME);ME;;
748MT;URBAN WILD OAK (MT);MT;;
783MT;OLD WILD OAK (MT);MT;;
145MX;SNOW (MX);MX;;
751MX;WHITE (MX);MX;;
752MX;BLOSSOM WHITE (MX);MX;;
878MX;JUST GREY (MX);MX;;
113NL;TERRA GREY (NL);NL;;
114NL;TUNDRA (NL);NL;;
139NL;READY TO PAINT (NL);NL;;
